scenario_id,sequence,condition_id,image_relpath,image_sha256,config_sha256,ocr_engine,ocr_engine_version,ocr_language,ocr_status,raw_text_utf8_b64,raw_text_sha256,raw_text_display,duration_ms,ocr_error_code
S011,11,baseline,images/S011.png,f6d322136d8228b21d8222890568adb88f2b7cebb9a7d1c0e25400e0504e271f,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIC0zOS4xNTkwNDAgZGVnIExPTiA1Ny43MzA5MjIgZGVnIEVMRVYgMjEyOC40MyBt,720d5c141fafecd241cf73b1f7cc181f0b4f8be800aaa557ca460c1971ece85d,LAT -39.159040 deg LON 57.730922 deg ELEV 2128.43 m,15,
S012,12,baseline,images/S012.png,8c2a216a6b0f85465868494dc92a6737e86adfe84dc22775e859c478ebb15e8a,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiA3MS44OTE5NTggTE9OOiAtMTQuNTMwOTg5IEVMRVY6IDIxOTQuMjMgbQ==,6f85535713cb9125029850ff9f7d23770dd1b1e55b448457cfe043be7a8ea16a,LAT: 71.891958 LON: -14.530989 ELEV: 2194.23 m,15,
S013,13,baseline,images/S013.png,087fcc8544c80957f0d25277d8ff0267a83335f977de15bb7f73b52e43cdb55d,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtMjEuMDc3NTI0IExPTjogNzcuNzgwNDEyIEVMRVY6IDI5OS42MCBt,424640a218d8d3c6dcf3e5fbd0fca51ef982eb7a2b750d494852bf2e5e2146b0,LAT: -21.077524 LON: 77.780412 ELEV: 299.60 m,15,
S014,14,baseline,images/S014.png,83df629faa7a100801ab9851669a0e19991be15e875655eafda6a9f49bc031e9,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gMi44NzI3NzIgTE9OID0gLTE1OC44NjIxMDQgRUxFViA9IDQwMC42NyBt,671ced686d2aa7fe9b8ec56398906ef8c23b880538d4dc1c201003997bffda34,LAT = 2.872772 LON = -158.862104 ELEV = 400.67 m,17,
S015,15,baseline,images/S015.png,8c1844781c5de017b8c6e15e8d2e08efc5d54a47bfd9d786afd39f3ba91bab05,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIC01Ny42Nzk5NzMgZGVnIExPTiA0NC4xMTM0NDIgZGVnIEVMRVYgLTkyLjMzIG0=,ca479adc70b22e92442eab235f6f01a680f1f581e0da625aacb750fc5773c700,LAT -57.679973 deg LON 44.113442 deg ELEV -92.33 m,13,
S016,16,baseline,images/S016.png,02cfdfca7a2146d51e0213cb4174ad5736a0f29ec901075b1627dfea33fa7670,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiA1Ni42NTEzNjMgTE9OOiAtMTI4LjM4NTY2OSBFTEVWOiAtMTguMDAgbQ==,1d3cc0f9fa8ac79f356a3514148a922634a3346d435b39a9c0b08d688eab1e21,LAT: 56.651363 LON: -128.385669 ELEV: -18.00 m,24,
S017,17,baseline,images/S017.png,a5afecd054bce429d6ed2222a37e1585cd191c64d14a455fdcf0f26ac5c8ae66,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAxMkEuMzQ1Njc4IExPTjogLTU3Ljc3NzY2MyBFTEVWOiAyMTAuOTcgbQ==,67ad0778f8359e51029462241b283225000a6fd5b41696ace4a60f92e8b66007,LAT: 12A.345678 LON: -57.777663 ELEV: 210.97 m,16,
S018,18,baseline,images/S018.png,8584b954be4be6a449ae00e38908b1b8d726703c76af90e2be631b0d8ed2ba5b,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gLTUwLjM3MTA3MCBMT04gPSAxMTAuMzQ3MjEy,4e2f57a95066612fd6221b40438bb102ac29fc69c2c01f8053ff82502b694baa,LAT = -50.371070 LON = 110.347212,12,
S019,19,baseline,images/S019.png,e1f41f3e92a4e9f7292c420cace0102ff27e05d3906b1056be12d40119dbce3f,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIC0xNi4yMzg2NTUgZGVnIExPTiA2Mi45MzY3MDYgZGVnIEVMRVYgMTg3LjQ1IG0=,78291756c9d2652259e69bd8b59a9b314cfb2d8c0730f8f2e9f3ebcdc74bff80,LAT -16.238655 deg LON 62.936706 deg ELEV 187.45 m,13,
S020,20,baseline,images/S020.png,0ca5650f19e08a68d855be101e7e6fc208a21cac296b4fcdbebd8f1f7bbb4b9b,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAyNy4zNTQ3MjggTE9OOiAtNDkuMzc4Nzg5IEVMRVY6IDU3MC4wNyBt,bf5532cb7d905f759e436c97d7a45428e1af5015113208de2b502c3f5510ddcd,LAT: 27.354728 LON: -49.378789 ELEV: 570.07 m,14,
S021,21,scale_125,images/S021.png,f8187599d81d5ae1ae1efb9ceba53951ca790d320ada4e8036a03d607dbdabc2,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtMTIuMzAzNDY4IExPTjogMTY1Ljc4NzcwMyBFTEVWOiAxMTg1Ljc3IG0=,900d3f8eff058e26d587b685014e6ffaf32b156bc0bf41d8877861a0f0a22a22,LAT: -12.303468 LON: 165.787703 ELEV: 1185.77 m,15,
S022,22,scale_125,images/S022.png,edb9849a6c528f1c4b00be695f5b8e7c02f0eb159308b5d1e3a462e314251db7,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gLTEyLjMwMzQ2OCBMT04gPSAxNjUuNzg3NzAzIEVMRVYgPSAxMTg1Ljc3IG0=,796bfc235d755396c00e895f58d8ae9c2d54074076c8606878f6e14cfbeb20bc,LAT = -12.303468 LON = 165.787703 ELEV = 1185.77 m,14,
S023,23,scale_125,images/S023.png,ba2489b186d757e9b7a4730f0780e3d1dee224d77de23b899552f64e2be95f99,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIDIwLjc3NTI3MSBkZWcgTE9OIC04Ni42MzM2NzYgZGVnIEVMRVYgOTYxLjQ2IG0=,64c04243a8af82930bd2803b66baebe0036c1ac3729f1d5c357f8b492a20b537,LAT 20.775271 deg LON -86.633676 deg ELEV 961.46 m,14,
S024,24,scale_125,images/S024.png,51464c260ed4d18d27d03a2b9c8b2fc72039bbcff3879aafede0db59186f1757,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAyMC43NzUyNzEgTE9OOiAtODYuNjMzNjc2IEVMRVY6IDk2MS40NiBt,39541d1f3dc76b80344b4085e6fb758f23f7861f50d128e286d7f55c0d900fc5,LAT: 20.775271 LON: -86.633676 ELEV: 961.46 m,13,
S025,25,scale_125,images/S025.png,8f83e29d3be086f2667426da552dfc523e8cc349d5e7bb9f0e0608ffdf935f81,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtMjAuMzk2MzY2IExPTjogNzQuMjQyNjE4IEVMRVY6IDEzMzQuMTRt,83df86e7b119b4f090c38f1c7955236e67cfae457fc18e54ebf17965407c8c46,LAT: -20.396366 LON: 74.242618 ELEV: 1334.14m,15,
S026,26,scale_125,images/S026.png,db0abf997a527f793e1dd27dc90857c837ec6f8302d7066f748ad5f96bb09a23,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gNy45NTQ0MDMgTE9OID0gLTE1OC4zNzM1MjIgRUxFViA9IDEzOTUuNzMgbQ==,2b9778e1217910d297aae5b325a5359f3eb3e04790a584c3fae8fd697369ba29,LAT = 7.954403 LON = -158.373522 ELEV = 1395.73 m,14,
S027,27,scale_125,images/S027.png,fcb48270e515d425e90151a7aace7634bdb0a57e61045cf3c2fad63acb23ccb3,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIC0zMy42ODQ3MzYgZGVnIExPTiAxNDEuNTM4Mjk1IGRlZyBFTEVWIDE4MjAuNDIgbQ==,75e9807f4709e3ca49bf0939dc329574a677c77eff64d46f8f43f47b089316f4,LAT -33.684736 deg LON 141.538295 deg ELEV 1820.42 m,16,
S028,28,scale_125,images/S028.png,aa1a0a4681a2ed43344eda7a0b2d9318dd2d1915506de9011d5a821d7cccd450,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAxMy4yNzY2MzUgTE9OOiAtOTguNTUxMDA0IEVMRVY6IDE5NjcuNzYgbQ==,2ac09c429f737eea754af0e5a723b6e8226b474e45375c93e3d77d60a164dafe,LAT: 13.276635 LON: -98.551004 ELEV: 1967.76 m,22,
S029,29,scale_125,images/S029.png,8ab88c218cf1eec2c1345114d6dd4713d0162b8549055d5c71a205f94bc7671e,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtNDYuMzc2Mjk5IExPTjogNDcuMjM2NTg1IEVMRVY6IDEzNTkuMzQgbQ==,580c46c59f29dddd87b4db704eb6ecf62841bc25c95fc9eb13dbd0a5eade6f57,LAT: -46.376299 LON: 47.236585 ELEV: 1359.34 m,14,
S030,30,scale_125,images/S030.png,5f59e006250daed51b51d76b7d28a9708b060a622c669ce8e81fc9b1ad388e89,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gNDYuNTczMjE3IExPTiA9IC0xNDEuNjY4MDM5IEVMRVYgPSAxOTM1LjI3IG0=,9c6ff34face5665f09e37065d513d7d385c4a548cd2f5fea0850a8e5c4c3c212,LAT = 46.573217 LON = -141.668039 ELEV = 1935.27 m,15,
S031,31,scale_125,images/S031.png,72a1dc35997cd3ef9f651a0245344f613fbde46836acf56a84404adaaad1f6a3,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIC00OC44MTg2ODggZGVnIExPTiAxNjAuODA5NDM3IGRlZyBFTEVWIDEyMjQuOTEgbQ==,c04719e5ed9e57a2ffecb6d9f7bd7c02db569aa8cf5ddfa9bddc6c746ec118d1,LAT -48.818688 deg LON 160.809437 deg ELEV 1224.91 m,16,
S032,32,scale_125,images/S032.png,2e4857d61cc74ce844642b5fa1e31e66c1aa1b1cf8f10b2d5d36f867520b3c30,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiA2Ny4xNjAzNjkgTE9OOiAtMTIwLjQzNDQxMiBFTEVWOiAyMzU1LjQwIG0=,08ac06a4b7c6638c9ce9175f74e18fa23a4e0f3162f1077f580b21dda1920d4b,LAT: 67.160369 LON: -120.434412 ELEV: 2355.40 m,23,
S033,33,scale_125,images/S033.png,20f7d0e42e28985cf80a2b1d0a6d26d09cabbbb814ae3ddc5474a1612858be35,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtNjIuMTY0NjgxIExPTjogMjIuMzYxNDAyIEVMRVY6IDI0ODQuNzAgbQ==,6c269ac61160f7650dfabef6c468c7368aace4faf5978fecf81cf3a45f6c3be1,LAT: -62.164681 LON: 22.361402 ELEV: 2484.70 m,17,
S034,34,scale_125,images/S034.png,cc448933e6f012a7e58fa9cc409afba326900a3b2aafeaed73c884a15ba5a6ef,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gNjAuMDc2NjY0IExPTiA9IC0xNjguODY4ODE4IEVMRVYgPSAyMDM1Ljk0IG0=,3e11c4dda8dd1657919fbfbda24dfb59ce6644a4697d4d8b378c401f38f3772f,LAT = 60.076664 LON = -168.868818 ELEV = 2035.94 m,15,
S035,35,scale_125,images/S035.png,6e7eae212bdf61db787af980024d925e0105ed9a19164b414ba0174a8374754a,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIC0yMi42MDk2MjQgZGVnIExPTiA3LjI3MTc1MyBkZWcgRUxFViAtMTc4LjY1IG0=,9cb830d08f4e7d7333c20354b35f1612a237d0713c9597ccc61e86827cd83f75,LAT -22.609624 deg LON 7.271753 deg ELEV -178.65 m,15,
S036,36,scale_125,images/S036.png,d1cc14ccea9ff3bd50ac34d18df4b6fd8b0cb7ccd213895fd3124bcf8ae20584,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiA2Ny43NjEwNDUgTE9OOiAtOTAuODYzMjMwIEVMRVY6IC0zOC42NSBt,ef4ab25ff1bd71508d03e93ec339a85ab0f20d3d5a21e6d1d4f4b27ec3833e78,LAT: 67.761045 LON: -90.863230 ELEV: -38.65 m,15,
S037,37,scale_125,images/S037.png,1db2c29ed56a082c7d2353db938f813a1131ea60c660eabd00034d8fe231397f,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAyMkEuMzQ1Njc4IExPTjogNTAuNDYyMzkwIEVMRVY6IDIxODguMTggbQ==,e01afdc71a4c5ebd39fe37a8e9b1af9903398f60f0ce0124c75eff7ddb2f7b84,LAT: 22A.345678 LON: 50.462390 ELEV: 2188.18 m,15,
S038,38,scale_125,images/S038.png,71d51b9d004c22e5beab8e1e4d5b12a987e207718f21354691729f6e46fe97ab,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gMTcuMTUzNjY3IExPTiA9IC0xNC45NTk0Mjg=,79db2e27eeae1461088939587e76cf3fed1ce6250a690987efdcd42a2437bb6d,LAT = 17.153667 LON = -14.959428,15,
S039,39,scale_125,images/S039.png,62585f95b9d98a633810baed71a21b14d296f01bcdf7f9fd36c7242eb889654f,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIC0xMi4zMDM0NjggZGVnIExPTiAxNjUuNzg3NzAzIGRlZyBFTEVWIDExODUuNzcgbQ==,b4c08c77b0c77aa9439ab87027ce3061b61a91a949eb145ead188330da7557fc,LAT -12.303468 deg LON 165.787703 deg ELEV 1185.77 m,15,
S040,40,scale_125,images/S040.png,51464c260ed4d18d27d03a2b9c8b2fc72039bbcff3879aafede0db59186f1757,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAyMC43NzUyNzEgTE9OOiAtODYuNjMzNjc2IEVMRVY6IDk2MS40NiBt,39541d1f3dc76b80344b4085e6fb758f23f7861f50d128e286d7f55c0d900fc5,LAT: 20.775271 LON: -86.633676 ELEV: 961.46 m,16,
S041,41,scale_150,images/S041.png,064d6072bbaf5a5b08e32af449c6761da19ad4716074d89c1ca9220b3e4e5c7d,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtNy4xMjQ1ODcgTE9OOiAxNjMuNjEyNjE5IEVMRVY6IDIxMy41MiBt,4134ca2fba64ab482cfe655a964988d3647fbfe6a39ea371fe1a963c810d3e3f,LAT: -7.124587 LON: 163.612619 ELEV: 213.52 m,16,
S042,42,scale_150,images/S042.png,365ca28dfd534aab68aa7c36a90c16becd91ce853dc965ffad117bfc1a8d0295,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gLTcuMTI0NTg3IExPTiA9IDE2My42MTI2MTkgRUxFViA9IDIxMy41MiBt,9edbfcb4408220ff86564879c767a9f4d951d134bdc487670aa4e9f76e7da38c,LAT = -7.124587 LON = 163.612619 ELEV = 213.52 m,16,
S043,43,scale_150,images/S043.png,907f5eba6ac6893f62580df888fb51700dba208c4c31912fbfb3acf63ff1b1e8,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIDMuNzEyMDExIGRlZyBMT04gLTc4LjQ5MDI1NSBkZWcgRUxFViAxMDMyLjg0IG0=,f2e04dee5d9d042765dc11312aa609b946c0fea98760d0018cc07923c22adc13,LAT 3.712011 deg LON -78.490255 deg ELEV 1032.84 m,20,
S044,44,scale_150,images/S044.png,71faa40ea1ec13ef93cc371193008b78c4a5bc823ba7d12c118a51b5127fe681,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAzLjcxMjAxMSBMT046IC03OC40OTAyNTUgRUxFVjogMTAzMi44NCBt,846825ba59b7a8c5a6ba4edec2d27b867ff9562a87fe0fe49b2662328cffb01a,LAT: 3.712011 LON: -78.490255 ELEV: 1032.84 m,18,
S045,45,scale_150,images/S045.png,8e73314e95e48d1142369f9a89ce7428d800790aed37ac9240ef03a06bb2077a,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtMzkuMDQ3OTIxIExPTjogMTE2LjQxODMzNCBFTEVWOiAyNDY0LjM1IG0=,324f13c2d03c6ab24a358390151b4ebe54badc20ff2fe629c17b93409673acb1,LAT: -39.047921 LON: 116.418334 ELEV: 2464.35 m,18,
S046,46,scale_150,images/S046.png,5298cfa2016970e551de59ce893d6b5f1b3f3e358600c449925938c527c3b946,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gMjEuMzMxMTQyIExPTiA9IC0zMi42OTY4NTkgRUxFViA9IDY3NS4wMCBt,139c692b31929013bb02e11308a4faabcdcd4eb93874c28bae0166a2eed74a74,LAT = 21.331142 LON = -32.696859 ELEV = 675.00 m,19,
S047,47,scale_150,images/S047.png,49d8b6ab4b9ecb870033fda1e4d4fdccac4c5b26a4b04f7a7e6bf61b31e8cd90,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIC01Mi42Mjc0MDkgZGVnIExPTiAxMjEuOTE1MjUwIGRlZyBFTEVWIDIxMDcuNDAgbQ==,6c8b1903785fc078eb4e71570ee88773664fc16f707e2a5c8b2ce051605fb0a8,LAT -52.627409 deg LON 121.915250 deg ELEV 2107.40 m,18,
S048,48,scale_150,images/S048.png,556a012061db4d341f0598b4c4d1fb78e72044187009d7412160097d4f75ba2c,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiA0Ny4xOTQzMTggTE9OOiAtMjguMDA2MzMxIEVMRVY6IDExMDIuOTggbQ==,3bb3a8c456a35a19abf4b984d32ba3567f0371e62520d5697cd72d9f1337fd96,LAT: 47.194318 LON: -28.006331 ELEV: 1102.98 m,18,
S049,49,scale_150,images/S049.png,e505862bc02c61541599e88da5200b7e5e740103a669cbc52c6e0a9c73e95983,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUOiAtMTMuMjk2OTMwIExPTjogMTUxLjk3NzQ1NiBFTEVWOiAxMDU1Ljk1IG0=,1a9786b1c5dd381a5055b34e45ffc9154751be3bad1664d03aaab178ae96c898,LAT: -13.296930 LON: 151.977456 ELEV: 1055.95 m,17,
S050,50,scale_150,images/S050.png,c175abc9d1a1a31ab3f198e20d275a393a960da64006c8da274182788c99bc8f,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUID0gMjIuMTE2NDE2IExPTiA9IC0xNTYuOTE5NjYzIEVMRVYgPSAxODc5Ljc4IG0=,acabe028c6cae9f8d678564be4a8d2600253c423d9a9ce79cf7a2d029d5d7079,LAT = 22.116416 LON = -156.919663 ELEV = 1879.78 m,18,
S051,51,scale_150,images/S051.png,686b7dc4f145b2faec2b60d808323c571e88ac2d52a11d878b011d455a8d07d5,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,Windows.Media.Ocr,not_exposed,en-US,SUCCESS,TEFUIC00MC42NzgzODEgZGVnIExPTiAxMjMuMDkwMzY2IGRlZyBFTEVWIDIzODAuMDcgbQ==,61baf33d237f6045c3a384d354d977c94de9f5ebe0dc4b8eed578f55b5b5112f,LAT -40.678381 deg LON 123.090366 deg ELEV 2380.07 m,24,
