scenario_id,sequence,condition_id,image_relpath,image_sha256,config_sha256,longitude,latitude,elevation_m,source_crs,axis_order,elevation_unit,vertical_reference,classification
S026,26,scale_125,images/S026.png,db0abf997a527f793e1dd27dc90857c837ec6f8302d7066f748ad5f96bb09a23,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-158.373522,7.954403,1395.73,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S027,27,scale_125,images/S027.png,fcb48270e515d425e90151a7aace7634bdb0a57e61045cf3c2fad63acb23ccb3,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,141.538295,-33.684736,1820.42,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S028,28,scale_125,images/S028.png,aa1a0a4681a2ed43344eda7a0b2d9318dd2d1915506de9011d5a821d7cccd450,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-98.551004,13.276635,1967.76,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S029,29,scale_125,images/S029.png,8ab88c218cf1eec2c1345114d6dd4713d0162b8549055d5c71a205f94bc7671e,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,47.236585,-46.376299,1359.34,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S030,30,scale_125,images/S030.png,5f59e006250daed51b51d76b7d28a9708b060a622c669ce8e81fc9b1ad388e89,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-141.668039,46.573217,1935.27,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S031,31,scale_125,images/S031.png,72a1dc35997cd3ef9f651a0245344f613fbde46836acf56a84404adaaad1f6a3,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,160.809437,-48.818688,1224.91,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S032,32,scale_125,images/S032.png,2e4857d61cc74ce844642b5fa1e31e66c1aa1b1cf8f10b2d5d36f867520b3c30,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-120.434412,67.160369,2355.40,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S033,33,scale_125,images/S033.png,20f7d0e42e28985cf80a2b1d0a6d26d09cabbbb814ae3ddc5474a1612858be35,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,22.361402,-62.164681,2484.70,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S034,34,scale_125,images/S034.png,cc448933e6f012a7e58fa9cc409afba326900a3b2aafeaed73c884a15ba5a6ef,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-168.868818,60.076664,2035.94,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S035,35,scale_125,images/S035.png,6e7eae212bdf61db787af980024d925e0105ed9a19164b414ba0174a8374754a,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,7.271753,-22.609624,-178.65,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S036,36,scale_125,images/S036.png,d1cc14ccea9ff3bd50ac34d18df4b6fd8b0cb7ccd213895fd3124bcf8ae20584,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-90.863230,67.761045,-38.65,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S041,41,scale_150,images/S041.png,064d6072bbaf5a5b08e32af449c6761da19ad4716074d89c1ca9220b3e4e5c7d,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,163.612619,-7.124587,213.52,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S043,43,scale_150,images/S043.png,907f5eba6ac6893f62580df888fb51700dba208c4c31912fbfb3acf63ff1b1e8,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-78.490255,3.712011,1032.84,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S045,45,scale_150,images/S045.png,8e73314e95e48d1142369f9a89ce7428d800790aed37ac9240ef03a06bb2077a,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,116.418334,-39.047921,2464.35,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S046,46,scale_150,images/S046.png,5298cfa2016970e551de59ce893d6b5f1b3f3e358600c449925938c527c3b946,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-32.696859,21.331142,675.00,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S047,47,scale_150,images/S047.png,49d8b6ab4b9ecb870033fda1e4d4fdccac4c5b26a4b04f7a7e6bf61b31e8cd90,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,121.915250,-52.627409,2107.40,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S048,48,scale_150,images/S048.png,556a012061db4d341f0598b4c4d1fb78e72044187009d7412160097d4f75ba2c,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-28.006331,47.194318,1102.98,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S049,49,scale_150,images/S049.png,e505862bc02c61541599e88da5200b7e5e740103a669cbc52c6e0a9c73e95983,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,151.977456,-13.296930,1055.95,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S050,50,scale_150,images/S050.png,c175abc9d1a1a31ab3f198e20d275a393a960da64006c8da274182788c99bc8f,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-156.919663,22.116416,1879.78,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S051,51,scale_150,images/S051.png,686b7dc4f145b2faec2b60d808323c571e88ac2d52a11d878b011d455a8d07d5,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,123.090366,-40.678381,2380.07,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S052,52,scale_150,images/S052.png,e7612fb47631b5525fe4aadd3fc5503045f2d8b0eca42751767a5954b25bcafa,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-63.421272,41.021725,586.55,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S053,53,scale_150,images/S053.png,930a423da2f5de69893678e5c6c8f583d35babc4b6123f1d1ec798932fa7b5de,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,75.575772,-45.861323,1761.40,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S054,54,scale_150,images/S054.png,b8a6ece89af59931155e05f97d15f629ef12a3a1252265aca960a51b06834e0e,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-144.746253,63.761874,1403.10,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S055,55,scale_150,images/S055.png,aa9d7429667abe442f18aefebb951636b9c901ff5ff8807436a7a3293cf2161a,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,10.709980,-29.228001,-110.11,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
S056,56,scale_150,images/S056.png,a0e8b61fba3ea71fc51b2e434103b32ff6b62ed5b5a8f039fe811690c408cdfd,8c7fee7a45923df2eca26ab165603ae339b6725b509b96638a08b9cd695f1a96,-134.706297,33.705193,-39.58,EPSG:4326,longitude_latitude,m,SYNTHETIC_LOCAL,ACCEPTED
